coverage,accuracy_shifted
0.5090,0.9772
0.5095,0.9772
0.5100,0.9772
0.5105,0.9773
0.5111,0.9773
0.5116,0.9763
0.5121,0.9763
0.5127,0.9763
0.5132,0.9764
0.5137,0.9764
0.5142,0.9764
0.5148,0.9754
0.5153,0.9754
0.5158,0.9755
0.5164,0.9755
0.5169,0.9755
0.5174,0.9755
0.5179,0.9756
0.5185,0.9756
0.5190,0.9756
0.5195,0.9756
0.5200,0.9746
0.5206,0.9737
0.5211,0.9737
0.5216,0.9737
0.5222,0.9737
0.5227,0.9738
0.5232,0.9728
0.5237,0.9728
0.5243,0.9728
0.5248,0.9729
0.5253,0.9719
0.5258,0.9719
0.5264,0.9719
0.5269,0.9720
0.5274,0.9720
0.5280,0.9720
0.5285,0.9721
0.5290,0.9721
0.5295,0.9721
0.5301,0.9721
0.5306,0.9712
0.5311,0.9712
0.5316,0.9712
0.5322,0.9713
0.5327,0.9713
0.5332,0.9713
0.5338,0.9713
0.5343,0.9714
0.5348,0.9714
0.5353,0.9704
0.5359,0.9705
0.5364,0.9695
0.5369,0.9695
0.5374,0.9696
0.5380,0.9696
0.5385,0.9696
0.5390,0.9697
0.5396,0.9687
0.5401,0.9688
0.5406,0.9688
0.5411,0.9688
0.5417,0.9688
0.5422,0.9689
0.5427,0.9689
0.5432,0.9680
0.5438,0.9670
0.5443,0.9671
0.5448,0.9671
0.5454,0.9671
0.5459,0.9671
0.5464,0.9672
0.5469,0.9672
0.5475,0.9672
0.5480,0.9673
0.5485,0.9673
0.5491,0.9673
0.5496,0.9674
0.5501,0.9674
0.5506,0.9674
0.5512,0.9675
0.5517,0.9675
0.5522,0.9666
0.5527,0.9666
0.5533,0.9666
0.5538,0.9667
0.5543,0.9667
0.5549,0.9667
0.5554,0.9668
0.5559,0.9668
0.5564,0.9668
0.5570,0.9669
0.5575,0.9669
0.5580,0.9669
0.5585,0.9669
0.5591,0.9670
0.5596,0.9661
0.5601,0.9652
0.5607,0.9652
0.5612,0.9643
0.5617,0.9643
0.5622,0.9644
0.5628,0.9644
0.5633,0.9644
0.5638,0.9645
0.5643,0.9645
0.5649,0.9645
0.5654,0.9646
0.5659,0.9646
0.5665,0.9637
0.5670,0.9628
0.5675,0.9628
0.5680,0.9629
0.5686,0.9629
0.5691,0.9629
0.5696,0.9630
0.5701,0.9630
0.5707,0.9630
0.5712,0.9621
0.5717,0.9613
0.5723,0.9613
0.5728,0.9613
0.5733,0.9604
0.5738,0.9605
0.5744,0.9605
0.5749,0.9606
0.5754,0.9597
0.5759,0.9597
0.5765,0.9588
0.5770,0.9589
0.5775,0.9580
0.5781,0.9580
0.5786,0.9581
0.5791,0.9581
0.5796,0.9572
0.5802,0.9573
0.5807,0.9573
0.5812,0.9564
0.5818,0.9565
0.5823,0.9556
0.5828,0.9557
0.5833,0.9557
0.5839,0.9548
0.5844,0.9540
0.5849,0.9540
0.5854,0.9541
0.5860,0.9532
0.5865,0.9532
0.5870,0.9533
0.5876,0.9533
0.5881,0.9525
0.5886,0.9525
0.5891,0.9526
0.5897,0.9526
0.5902,0.9526
0.5907,0.9518
0.5912,0.9509
0.5918,0.9510
0.5923,0.9501
0.5928,0.9502
0.5934,0.9502
0.5939,0.9503
0.5944,0.9503
0.5949,0.9504
0.5955,0.9504
0.5960,0.9496
0.5965,0.9496
0.5970,0.9496
0.5976,0.9497
0.5981,0.9497
0.5986,0.9498
0.5992,0.9498
0.5997,0.9499
0.6002,0.9499
0.6007,0.9500
0.6013,0.9491
0.6018,0.9492
0.6023,0.9492
0.6028,0.9493
0.6034,0.9493
0.6039,0.9485
0.6044,0.9485
0.6050,0.9486
0.6055,0.9477
0.6060,0.9469
0.6065,0.9470
0.6071,0.9470
0.6076,0.9462
0.6081,0.9462
0.6086,0.9454
0.6092,0.9446
0.6097,0.9446
0.6102,0.9447
0.6108,0.9447
0.6113,0.9448
0.6118,0.9448
0.6123,0.9440
0.6129,0.9432
0.6134,0.9433
0.6139,0.9433
0.6145,0.9433
0.6150,0.9434
0.6155,0.9426
